age,education-num,hours-per-week,workclass,occupation
38,10,40, Private, Sales
35,10,40, Federal-gov, Exec-managerial
31,9,40, Private, Handlers-cleaners
34,13,40, Federal-gov, Exec-managerial
40,4,42, Private, Other-service
30,12,50, Private, Exec-managerial
27,9,40, Private, Machine-op-inspct
45,10,40, Private, Craft-repair
35,13,40, Private, Prof-specialty
49,13,40, Private, Other-service
35,13,40, Private, Other-service
23,7,40, Private, Craft-repair
38,11,36, Private, Prof-specialty
36,9,40, Private, Adm-clerical
41,13,30, Private, Other-service
38,13,40, Local-gov, Craft-repair
19,10,10, Private, Adm-clerical
23,9,40, Private, Machine-op-inspct
60,10,60, Local-gov, Other-service
47,9,45, Private, Priv-house-serv
22,10,40, Private, Other-service
23,10,40, State-gov, Adm-clerical
20,10,40, Private, Machine-op-inspct
52,15,40, ?, ?
48,13,40, Private, Other-service
28,15,99, Private, Prof-specialty
59,6,40, Private, Other-service
43,13,50, Self-emp-not-inc, Exec-managerial
28,10,40, Private, Exec-managerial
42,13,72, Private, Other-service
55,13,35, Private, Other-service
43,13,40, Private, Adm-clerical
25,5,40, Private, Adm-clerical
46,13,40, Private, Adm-clerical
47,10,40, Private, Machine-op-inspct
33,9,35, Private, Other-service
27,13,20, Private, Tech-support
38,10,40, Private, Other-service
30,13,40, Private, Other-service
32,1,40, Private, Machine-op-inspct
26,10,44, Private, Handlers-cleaners
70,10,40, Private, Farming-fishing
38,13,40, Private, Adm-clerical
66,13,30, Private, Craft-repair
48,13,40, Local-gov, Adm-clerical
23,5,20, Private, Other-service
50,10,40, Private, Adm-clerical
54,11,40, Private, Craft-repair
51,9,50, Private, Sales
37,13,40, Federal-gov, Adm-clerical
28,9,40, Private, Machine-op-inspct
27,13,40, Private, Other-service
52,14,40, Self-emp-not-inc, Exec-managerial
62,9,40, Private, Sales
22,10,30, Private, Sales
39,13,40, Private, Craft-repair
50,14,40, Private, Exec-managerial
59,14,35, Private, Craft-repair
45,13,40, Private, Other-service
27,3,20, Private, Sales
28,9,40, Private, Other-service
37,13,40, Private, Tech-support
30,12,40, Private, Other-service
40,9,40, Private, Craft-repair
37,9,70, Private, Craft-repair
34,7,40, Private, Other-service
24,13,40, Private, Prof-specialty
66,13,40, Private, Adm-clerical
30,6,40, Private, Machine-op-inspct
47,9,25, Private, Other-service
90,12,20, Local-gov, Adm-clerical
27,13,40, Private, Tech-support
23,10,24, Private, Adm-clerical
22,10,20, Private, Sales
37,9,60, Private, Other-service
39,13,40, Private, Prof-specialty
35,13,40, Private, Adm-clerical
19,7,19, Private, Sales
28,9,40, Private, Machine-op-inspct
45,6,40, Private, Machine-op-inspct
33,11,40, Private, Sales
45,9,40, Private, Other-service
19,7,40, ?, ?
23,10,40, Private, Machine-op-inspct
27,9,40, Private, Machine-op-inspct
23,12,16, ?, ?
48,13,36, Private, Prof-specialty
45,12,40, Federal-gov, Adm-clerical
24,9,40, Private, Protective-serv
28,9,40, Private, Machine-op-inspct
69,2,34, ?, ?
26,13,40, Private, Prof-specialty
50,13,40, Private, Exec-managerial
63,3,19, Private, Other-service
75,1,48, Private, Priv-house-serv
38,13,40, Local-gov, Protective-serv
38,10,40, Private, Craft-repair
29,9,40, Private, Protective-serv
34,13,50, Private, Other-service
54,13,40, Local-gov, Exec-managerial
73,9,40, Self-emp-not-inc, Farming-fishing
27,10,45, Private, Craft-repair
21,10,40, Private, Handlers-cleaners
55,5,40, Private, Machine-op-inspct
44,8,60, Self-emp-not-inc, Exec-managerial
46,9,40, ?, ?
39,13,45, Private, Transport-moving
44,9,40, Private, Adm-clerical
65,9,40, Private, Craft-repair
22,10,40, Local-gov, Adm-clerical
73,9,40, Private, Farming-fishing
26,10,40, Private, Machine-op-inspct
26,10,20, Private, Adm-clerical
39,10,40, Private, Sales
41,13,40, Federal-gov, Adm-clerical
52,9,8, Private, Handlers-cleaners
21,10,20, Private, Sales
36,13,35, Private, Prof-specialty
30,7,40, Private, Handlers-cleaners
25,13,40, Local-gov, Tech-support
20,10,30, Private, Sales
45,9,40, Private, Craft-repair
29,2,40, ?, ?
39,10,40, Private, Sales
23,9,1, Private, Craft-repair
35,13,40, Private, Craft-repair
50,9,60, Self-emp-not-inc, Prof-specialty
35,13,40, Private, Prof-specialty
37,13,40, Private, Craft-repair
31,16,50, Private, Prof-specialty
34,10,40, Private, Other-service
60,9,30, Private, Other-service
33,13,35, Private, Other-service
27,13,25, ?, ?
46,10,40, Private, Craft-repair
24,2,5, Private, Other-service
29,9,35, Private, Adm-clerical
45,9,40, Self-emp-not-inc, Craft-repair
35,9,40, Private, Machine-op-inspct
29,11,40, Private, Craft-repair
24,11,40, Private, Adm-clerical
55,9,40, Private, Other-service
39,3,40, Private, Other-service
25,13,44, Private, Sales
50,3,35, Private, Machine-op-inspct
23,9,40, Private, Craft-repair
18,10,40, ?, ?
35,13,40, Local-gov, Sales
36,15,40, State-gov, Prof-specialty
46,13,35, Private, Adm-clerical
44,9,50, Private, Other-service
23,9,40, Private, Tech-support
47,13,60, Self-emp-not-inc, Exec-managerial
56,15,40, Local-gov, Adm-clerical
22,10,12, ?, ?
49,13,40, Private, Adm-clerical
36,9,40, Private, Prof-specialty
31,13,48, Private, Prof-specialty
29,13,64, Private, Prof-specialty
43,13,40, Federal-gov, Prof-specialty
58,13,40, Private, Adm-clerical
46,10,40, Private, Craft-repair
50,15,40, Local-gov, Adm-clerical
39,13,24, Private, Adm-clerical
70,13,32, Private, Machine-op-inspct
33,9,40, Self-emp-inc, Other-service
58,9,60, Private, Priv-house-serv
43,13,40, Self-emp-inc, Sales
57,13,40, Private, Exec-managerial
27,11,40, Private, Other-service
35,13,40, Federal-gov, Prof-specialty
19,10,18, Private, Sales
29,9,40, State-gov, Other-service
44,10,80, Self-emp-not-inc, Sales
39,11,40, Private, Tech-support
22,5,40, Private, Handlers-cleaners
39,10,40, Private, Machine-op-inspct
19,8,25, Private, Prof-specialty
23,1,40, Private, Other-service
34,10,38, State-gov, Adm-clerical
35,10,40, ?, ?
30,9,40, Private, Machine-op-inspct
46,15,40, Local-gov, Prof-specialty
46,13,40, Local-gov, Prof-specialty
49,13,35, Private, Other-service
50,13,40, Private, Prof-specialty
42,12,31, Private, Exec-managerial
31,12,40, Private, Prof-specialty
45,10,40, Private, Craft-repair
27,13,40, Private, Tech-support
36,9,40, Private, Machine-op-inspct
35,13,40, Private, Prof-specialty
21,10,40, Private, Adm-clerical
62,3,40, Private, Farming-fishing
25,13,40, Private, Sales
30,9,40, Private, Machine-op-inspct
19,10,40, Private, Tech-support
26,13,40, Private, Adm-clerical
30,13,36, Private, Craft-repair
27,13,50, Private, Adm-clerical
50,8,40, Private, Sales
39,3,40, Private, Other-service
45,13,40, Private, Prof-specialty
73,13,5, ?, ?
32,13,40, Private, Tech-support
49,4,45, Private, Machine-op-inspct
55,14,40, Private, Prof-specialty
32,3,40, Private, Machine-op-inspct
48,13,45, Private, Tech-support
63,13,40, Private, Protective-serv
44,9,45, Private, Machine-op-inspct
21,10,10, ?, ?
23,10,25, Private, Sales
42,13,40, Private, Adm-clerical
18,4,40, Private, Other-service
37,10,30, Private, Other-service
46,9,40, Private, Machine-op-inspct
67,9,12, Without-pay, Adm-clerical
31,13,40, Private, Craft-repair
18,7,15, Federal-gov, Other-service
37,10,40, Federal-gov, Adm-clerical
34,10,40, Private, Craft-repair
30,11,40, Private, Adm-clerical
33,10,40, Private, Tech-support
29,7,14, Private, Handlers-cleaners
48,11,56, Private, Other-service
22,10,40, Private, Craft-repair
24,13,40, Private, Exec-managerial
23,6,40, Private, Machine-op-inspct
61,3,40, Private, Handlers-cleaners
56,10,40, Federal-gov, Adm-clerical
32,10,40, Private, Machine-op-inspct
42,13,40, Private, Adm-clerical
34,9,60, Private, Prof-specialty
19,10,35, Private, Sales
30,13,40, Private, Adm-clerical
26,13,60, Private, Exec-managerial
39,13,48, Private, Prof-specialty
26,9,40, Private, Farming-fishing
29,9,40, Private, Machine-op-inspct
40,15,40, Private, Adm-clerical
41,15,40, Private, Adm-clerical
39,13,40, Private, Adm-clerical
48,13,40, Private, Adm-clerical
39,14,40, Private, Prof-specialty
29,9,25, Private, Other-service
41,13,35, Private, Adm-clerical
37,9,40, Private, Machine-op-inspct
41,10,40, Private, Tech-support
44,2,40, Private, Other-service
26,10,40, ?, ?
48,10,40, Private, Craft-repair
27,10,40, Private, Craft-repair
51,16,40, Federal-gov, Prof-specialty
53,15,40, Self-emp-not-inc, Prof-specialty
39,13,40, Federal-gov, Adm-clerical
